"sourcePath","format","bytes","sha256","recordsOrTopLevelKeys","bodyDisposition"
"docs/SEO/research/keyword-and-funnel/landing-services-funnel-2026-07-19/README.md","md","3183","51c39351f58c33bf6c7f12256b17b0fa8ab40b849243d45df1a56a95d85d97d1","","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/landing-services-funnel-2026-07-19/answer-socrates-observations.csv","csv","13712","340b41cdeee1e34fa309ffbec27ed57a92505782ba136291716edb2707d8a459","64","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/landing-services-funnel-2026-07-19/coverage-qa.csv","csv","1546","b4806f85bc184efef246cdc9335cb78341eac48bf066fff1c351a0a960163555","16","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/landing-services-funnel-2026-07-19/executive-findings.md","md","4998","5e9edd9cf0a5d8b5c8d299ee96c411d124a2c14c36c50af40b61a4c2756d7ff4","","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/landing-services-funnel-2026-07-19/first-party-evidence.csv","csv","6927","794617db6170622b4bd6c73a1c35520803471b457b766993c58c60579de247e0","48","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/landing-services-funnel-2026-07-19/keyword-universe.csv","csv","113798","9737d895ac4517c043ee15e5ff4e74040c6e1f5d2037623a1e317056d9cac1fe","160","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/landing-services-funnel-2026-07-19/methodology-and-limitations.md","md","4495","7969cb6fa4ebf89dd40e259f44a6dbeb6d097a5b934ffe5aebe7576a8974b096","","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/landing-services-funnel-2026-07-19/question-bank.csv","csv","19722","5ae307add9b4ce8862243285e9e8471cca597390f3a39d0af90123d1df26b1bb","68","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/landing-services-funnel-2026-07-19/research-summary.json","json","1874","c4fb443e6b61bb6e6741a4cae6098ccba96824acaccf700501008fa53f054e04","11","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/landing-services-funnel-2026-07-19/run-manifest.json","json","5701","f66b691cef241c451aa913565ccfb6951d5f91b7e43778dfa578bde0b7cac668","6","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/landing-services-funnel-2026-07-19/serp-evidence.csv","csv","5332","e8ea70cada23e86652d51d80ebfbd7fce9f8a0f72021c2114123337c84da7009","16","Embedded in full below."
