id,startedAt,finishedAt,endpoint,tool,status,estimatedCostUsd,actualCostUsd,providerBalanceBefore,providerBalanceAfter,reconciliationNote
7880e4b6-790f-429c-817e-27658ecfd8c4,2026-07-17T06:31:57.341Z,2026-07-17T06:32:03.158Z,openseo_research_keywords_labs,research_keywords,completed,0.09,0.054,0.5675600000000001,0.51356,
41860f1d-91bd-4c41-8b45-d276fa3fc819,2026-07-17T06:32:23.326Z,2026-07-17T06:32:26.430Z,openseo_research_keywords_labs,research_keywords,completed,0.09,0.05436,0.51356,0.45920000000000005,
b4ba68b5-3200-499e-a6a3-99406de283ec,2026-07-17T06:32:36.706Z,2026-07-17T06:32:40.025Z,openseo_research_keywords_labs,research_keywords,completed,0.09,0.05436,0.45920000000000005,0.40484,
40766963-1073-40c8-91d0-98e9602e3207,2026-07-17T06:32:52.319Z,2026-07-17T06:33:12.363Z,openseo_research_keywords_labs,research_keywords,completed,0.09,0.054,0.40484,0.35084,Resolved from the fresh 2026-07-17T06:33:12.363Z balance snapshot: 0.40484 - 0.35084 = 0.054 USD.
072e3090-2285-4c32-9ce4-bc60cc8a4686,2026-07-17T06:33:36.484Z,2026-07-17T06:33:41.709Z,openseo_research_keywords_labs,research_keywords,completed,0.09,0.054,0.35084000000000004,0.29684,
c18d6ace-3414-494d-b6d2-3e8a4b360e1f,2026-07-17T06:33:51.740Z,2026-07-17T06:33:52.966Z,openseo_research_keywords_labs,research_keywords,completed,0.09,0.02484,0.29684,0.272,
a5815219-356e-4124-afc2-eaf8e1e40d0b,2026-07-17T06:35:19.761Z,2026-07-17T06:35:21.462Z,dataforseo_labs_google_keyword_overview,get_keyword_metrics,completed,0.02424,0.01548,0.272,0.25651999999999997,
ce51d7e4-468b-4aa6-9ef9-9dc4ddaea3d1,2026-07-17T06:35:39.566Z,2026-07-17T06:35:40.332Z,dataforseo_labs_google_serp_competitors,find_serp_competitors,completed,0.0156,0.012,0.25651999999999997,0.24451999999999996,
35fff25c-918b-4ad7-995c-04c35889dd82,2026-07-17T06:36:03.156Z,2026-07-17T06:36:39.452Z,serp_organic_live_advanced,get_serp_results,completed-output-lost,0.08,0.052,0.24451999999999996,0.19252,"The OpenSEO MCP request returned HTTP 200 after 24.472 seconds, but the caller exited 137 before persisting the response. Cost reconciled from provider balance: 0.24452 - 0.19252 = 0.052 USD. No SERP data from this event is claimed in the research package."
a298314a-122e-472e-8d5e-b377461e53d5,2026-07-17T06:38:47.622Z,2026-07-17T06:39:13.086Z,serp_organic_live_advanced,get_serp_results,completed,0.02,0.02,0.19252000000000002,0.17252,
5174937a-ec81-4d15-bf99-ab8fa4cced36,2026-07-17T06:39:32.953Z,2026-07-17T06:39:47.150Z,serp_organic_live_advanced,get_serp_results,completed,0.02,0.02,0.17252,0.15252,
affe5bfa-fe6f-4659-a09a-ea316eb9a4cc,2026-07-17T06:40:20.923Z,2026-07-17T06:40:35.910Z,serp_organic_live_advanced,get_serp_results,completed,0.02,0.02,0.15252,0.13251999999999997,
00ed9c22-c058-4a70-b926-b7d72a136e0d,2026-07-17T06:41:20.179Z,2026-07-17T06:41:21.401Z,dataforseo_labs_google_serp_competitors,find_serp_competitors,completed,0.01212,0.01212,0.13251999999999997,0.12039999999999995,
